# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	2518
#@/user_id	win-config
a 	啊	c=5 d=1.30504 t=2518
chong zhi 	充值	c=1 d=1 t=999
chu 	出	c=3 d=2.28413 t=1278
chu cuo 	出錯	c=2 d=1.19301 t=1387
chu fa 	出發	c=0 d=0.0218712 t=2518
chu fa 	觸發	c=3 d=0.400517 t=2518
chu kou 	出口	c=2 d=1.97531 t=2171
chu le 	除了	c=2 d=1.0098 t=2280
chu li 	處理	c=4 d=0.948973 t=2518
chu shi hua 	初始化	c=3 d=0.369723 t=2518
chu xian 	出現	c=2 d=0.894893 t=2518
chuan 	傳	c=1 d=1 t=1510
chuan di 	傳遞	c=2 d=0.205975 t=2518
chuan ru 	傳入	c=1 d=1 t=1124
chuang jian 	創建	c=2 d=1.02317 t=1854
chuang xin 	創新	c=3 d=1.04402 t=2518
ci 	此	c=1 d=1 t=2411
ci ku 	詞庫	c=3 d=2.0944 t=2518
ci shi 	此時	c=1 d=0.147342 t=2518
ci shu 	次數	c=1 d=1 t=1466
cong 	從	c=3 d=0.737123 t=2518
cu ren 	粗人	c=0 d=0.097531 t=2518
cu ren le 	粗人了	c=1 d=0.980199 t=2518
cun dao 	存到	c=1 d=1 t=958
cun zai 	存在	c=2 d=1.1979 t=1578
cuo 	錯	c=0 d=0.1 t=1093
cuo wu 	錯誤	c=4 d=1.80521 t=2518
da 	打	c=1 d=0.351692 t=2518
da bao 	打包	c=3 d=2.78329 t=1922
da dao 	打到	c=1 d=1 t=1911
da dao 	達到	c=1 d=0.158025 t=2518
da kuo hao 	大括號	c=1 d=0.524663 t=2518
da le 	大了	c=2 d=1.96079 t=2181
da ren 	大人	c=1 d=1 t=2338
da xie 	大寫	c=2 d=1.32275 t=2518
da xue 	大學	c=2 d=1.80516 t=2518
da yin 	打印	c=7 d=1.76264 t=2518
da yu 	大於	c=1 d=0.680451 t=2518
dai 	待	c=1 d=0.910584 t=1365
dai li 	代理	c=2 d=1.03526 t=1865
dai ma 	代碼	c=6 d=0.113042 t=2518
dan ci 	單詞	c=1 d=1 t=1529
dan shi 	但是	c=3 d=1.38891 t=2055
dan yin hao 	單引號	c=1 d=1 t=2137
dang 	當	c=1 d=1 t=1307
dang qian 	當前	c=8 d=1.10852 t=2518
dao 	到	c=6 d=0.647265 t=2518
dao chu 	導出	c=2 d=1.43136 t=2518
dao chu le 	導出了	c=1 d=0.755784 t=2518
dao ru 	導入	c=1 d=0.472367 t=2518
de 	的	c=141 d=13.0112 t=2518
deng dai 	等待	c=3 d=0.115903 t=2518
deng lu 	登錄	c=5 d=0.362402 t=2518
di ceng 	底層	c=1 d=1 t=1457
di er ge 	第二個	c=1 d=1 t=970
di fang 	地方	c=1 d=0.436049 t=2518
di lao 	地牢	c=1 d=1 t=2424
di san fang 	第三方	c=1 d=0.289384 t=2518
di si ge 	第四個	c=1 d=0.145148 t=2518
di tie 	地鐵	c=0 d=0.1 t=2002
di tie tu 	地鐵圖	c=1 d=1 t=2003
di yi ge 	第一個	c=1 d=1 t=964
di yi hang 	第一行	c=1 d=0.519442 t=2518
di zhi 	地址	c=4 d=0.494109 t=2518
dian 	點	c=2 d=1.29455 t=2518
dian ji 	點擊	c=1 d=1 t=1158
dian kai 	點開	c=0 d=0.1 t=1000
dian zi 	電子	c=1 d=1 t=1514
dian zi shu 	電子書	c=1 d=0.412714 t=2518
diao yong 	調用	c=4 d=1.73323 t=1493
diao yong le 	調用了	c=1 d=1 t=1475
ding dan 	訂單	c=4 d=1.21126 t=2518
ding shi 	定時	c=1 d=0.353455 t=2518
ding yi 	定義	c=3 d=1.84847 t=1306
dong tai 	動態	c=1 d=1 t=1102
dou 	都	c=3 d=0.634448 t=2518
dou bi 	都比	c=1 d=1 t=2381
dou hao 	逗號	c=1 d=1 t=1571
dou shi 	都是	c=6 d=1.53764 t=2518
dou shi yong 	都使用	c=1 d=1 t=1743
dou xing 	都行	c=1 d=1 t=2139
dou zai 	都在	c=1 d=0.918512 t=2518
du 	讀	c=1 d=1 t=1954
du qu 	讀取	c=5 d=1.18034 t=2518
duan kou 	端口	c=3 d=0.858936 t=2518
duan lie 	斷裂	c=1 d=1 t=1696
duan xin 	短信	c=2 d=1.9802 t=1883
dui 	對	c=3 d=0.663889 t=2518
dui le 	對了	c=1 d=0.353455 t=2518
dui xiang 	對象	c=5 d=2.28741 t=2412
dui ying 	對應	c=1 d=1 t=1782
duo 	多	c=1 d=0.574072 t=2518
duo ge 	多個	c=4 d=0.748233 t=1944
duo ge che 	多個車	c=1 d=1 t=1945
duo hang 	多行	c=1 d=0.453845 t=2518
en 	恩	c=4 d=1 t=2518
er 	而	c=1 d=1 t=1642
er bu shi 	而不是	c=2 d=0.158817 t=2518
fa 	法	c=1 d=1 t=2329
fa bu 	發佈	c=1 d=1 t=1627
fa chu 	發出	c=1 d=0.140858 t=2518
fa gei 	發給	c=1 d=0.160414 t=2518
fa shao 	發燒	c=0 d=0.0231078 t=2518
fa song 	發送	c=3 d=2.94099 t=1379
fa xian 	發現	c=1 d=1 t=2168
fa xue 	法學	c=2 d=1.99005 t=1615
fa ying 	發英	c=1 d=1 t=1700
fan hui 	返回	c=3 d=0.121846 t=2518
fan hui zhi 	返回值	c=1 d=0.116484 t=2518
fan wei 	範圍	c=1 d=1 t=1991
fang fa 	方法	c=11 d=0.519442 t=2518
fang shi 	方式	c=2 d=1.11824 t=2304
fang wen 	訪問	c=6 d=0.565525 t=2518
fei yong 	費用	c=1 d=1 t=1154
fen 	份	c=1 d=0.364219 t=2518
fen 	分	c=1 d=1 t=1534
fen bie 	分別	c=1 d=1 t=1348
fen ge 	分割	c=2 d=0.463013 t=2518
fen hao 	分號	c=1 d=0.458406 t=2518
fen ji 	分級	c=1 d=0.423162 t=2518
fen pian 	分片	c=0 d=0.1 t=2398
fen pian ji qun 	分片集羣	c=1 d=1 t=2399
fen ye 	分頁	c=1 d=1 t=1994
fen zhi 	分支	c=1 d=1 t=2142
feng bi 	封閉	c=1 d=0.375311 t=2518
feng niao 	蜂鳥	c=1 d=1 t=1721
feng zhuang 	封裝	c=1 d=1 t=980
fu 	父	c=0 d=0.1 t=1111
fu gai 	覆蓋	c=2 d=0.289384 t=2518
fu wu 	服務	c=2 d=0.268474 t=2518
fu wu duan 	服務端	c=1 d=0.594521 t=2518
fu wu qi 	服務器	c=5 d=1.4166 t=2518
fu zhi 	複製	c=1 d=1 t=1003
fu zu jian 	父組件	c=1 d=1 t=1112
gai 	改	c=8 d=3.78302 t=2518
gai cheng 	改成	c=4 d=1.49417 t=2518
gai guo 	改過	c=1 d=1 t=1844
gai hao 	改好	c=1 d=0.878095 t=2518
gai le 	改了	c=1 d=1 t=2071
gai zen me 	該怎麼	c=1 d=1 t=1795
gang cai 	剛纔	c=2 d=0.975612 t=2518
gang tie 	鋼鐵	c=2 d=0.882497 t=2518
gao de 	高德	c=1 d=1 t=2002
ge 	個	c=2 d=0.946485 t=2518
ge 	隔	c=1 d=1 t=2184
ge li 	隔離	c=0 d=0.1 t=1950
ge li ji bie 	隔離級別	c=1 d=1 t=1951
ge shi 	格式	c=2 d=0.423162 t=2518
ge shi hua 	格式化	c=1 d=0.414783 t=2518
ge shu 	個數	c=1 d=0.985112 t=2518
gei 	給	c=3 d=1.11936 t=1778
gei chu 	給出	c=1 d=1 t=1266
gei ta 	給他	c=1 d=1 t=1839
gen 	跟	c=1 d=1 t=2043
gen ju 	根據	c=3 d=0.384812 t=2518
geng xin 	更新	c=6 d=1.44866 t=2518
gong dan 	工單	c=2 d=1.9802 t=1727
gong gong 	公共	c=1 d=0.210136 t=2518
gong ju 	工具	c=1 d=1 t=1195
gong lang 	公狼	c=1 d=1 t=1270
gong neng 	功能	c=1 d=1 t=1247
gong si 	公司	c=2 d=1.90484 t=2069
gong zuo 	工作	c=1 d=0.537944 t=2518
gou 	夠	c=0 d=0.1 t=1398
gou ou guan 	夠歐冠	c=1 d=1 t=1399
gu ding 	固定	c=5 d=0.924424 t=2518
guan jian zi 	關鍵字	c=2 d=0.213987 t=2518
guan le 	管了	c=2 d=0.677057 t=2518
guan li 	管理	c=2 d=0.271173 t=2518
guan li yuan 	管理員	c=3 d=1.25398 t=2120
guan wang 	官網	c=1 d=1 t=1629
guan xi 	關係	c=3 d=1.10815 t=2502
guan yu 	關於	c=1 d=1 t=2423
guang biao 	光標	c=2 d=1.96546 t=2518
gui dang 	歸檔	c=1 d=0.181772 t=2518
gui hua 	規劃	c=1 d=0.386741 t=2518
gui lv 	規律	c=1 d=0.472367 t=2518
gui ze 	規則	c=14 d=4.71851 t=2518
guo 	國	c=1 d=1 t=2001
guo 	過	c=2 d=0.431711 t=2518
guo jia 	國家	c=1 d=1 t=1998
ha 	哈	c=1 d=1 t=1864
ha ha 	哈哈	c=4 d=0.0283087 t=2518
ha ha ha 	哈哈哈	c=1 d=0.421052 t=2518
hai 	還	c=1 d=0.0306626 t=2518
hai fa shao 	還發燒	c=1 d=0.232236 t=2518
hai mei 	還沒	c=0 d=0.0218712 t=2518
hai mei chu fa 	還沒出發	c=1 d=0.219808 t=2518
hai shao 	還燒	c=2 d=1.34603 t=2518
hai shao ma 	還燒嗎	c=1 d=0.408608 t=2518
hai shi 	還是	c=4 d=0.150318 t=2518
hai you 	還有	c=5 d=1.0612 t=2518
hang 	行	c=0 d=0.1 t=2131
hang zhu shi 	行註釋	c=1 d=1 t=2132
hao 	好	c=2 d=1.01426 t=2188
hao 	號	c=5 d=0.827273 t=2518
hao de 	好的	c=3 d=2.05407 t=1801
hao hou 	好後	c=1 d=1 t=2154
hao le 	好了	c=4 d=0.985112 t=2518
hao peng 	好鵬	c=1 d=0.878095 t=2518
hao peng 	郝鵬	c=4 d=1.09932 t=2518
hao xiang 	好像	c=2 d=0.486752 t=2518
he 	和	c=15 d=1.81622 t=2518
he he 	呵呵	c=6 d=0.0469576 t=2518
he ji 	合計	c=1 d=0.408608 t=2518
hei hei 	嘿嘿	c=2 d=0.0191716 t=2518
hei ping 	黑屏	c=1 d=0.453845 t=2518
hen duo 	很多	c=2 d=0.585669 t=2518
hen qing chu 	很清楚	c=1 d=1 t=972
heng xiang 	橫向	c=1 d=1 t=2400
hou 	後	c=4 d=0.174645 t=2518
hou jia 	後加	c=1 d=1 t=2098
hou lu ru 	後錄入	c=1 d=1 t=2076
hou xuan 	候選	c=0 d=0.097531 t=2518
hou xuan zi 	候選字	c=2 d=1.97025 t=2518
hou zhui 	後綴	c=1 d=0.511709 t=2518
hu zhao 	護照	c=1 d=1 t=2352
hua sheng 	花生	c=1 d=0.263158 t=2518
hua sheng ke 	花生殼	c=3 d=0.714099 t=2518
huan 	換	c=1 d=1 t=2204
huan cun 	緩存	c=2 d=0.881436 t=2518
huan hang 	換行	c=1 d=1 t=1524
huan jing 	環境	c=8 d=0.565525 t=2518
huan xing 	喚醒	c=1 d=1 t=2407
hui 	會	c=11 d=1.39542 t=2518
hui bu hui 	會不會	c=1 d=0.17552 t=2518
hui diao 	回調	c=1 d=1 t=1365
hui fu 	回覆	c=1 d=1 t=1985
hui fu 	恢復	c=1 d=0.394554 t=2518
huo 	或	c=3 d=1.30522 t=1619
huo che 	火車	c=1 d=0.217621 t=2518
huo dong 	活動	c=1 d=1 t=2320
huo hu 	火狐	c=1 d=1 t=2467
huo qu 	獲取	c=8 d=0.571209 t=2518
ji 	及	c=1 d=0.477114 t=2518
ji bai ge 	幾百個	c=1 d=0.970446 t=2518
ji ben 	基本	c=1 d=0.666977 t=2518
ji bie 	級別	c=0 d=0.1 t=1950
ji dian 	幾點	c=1 d=0.215456 t=2518
ji fei 	計費	c=17 d=2.78434 t=2518
ji ge ren 	幾個人	c=1 d=1 t=2336
ji hua 	計劃	c=1 d=0.822835 t=2518
ji ji 	幾級	c=1 d=0.442639 t=2518
ji lu 	記錄	c=3 d=0.928927 t=2518
ji qi 	機器	c=2 d=0.427415 t=2518
ji qun 	集羣	c=0 d=0.1 t=2398
ji shu 	計數	c=1 d=1 t=2328
ji suan 	計算	c=3 d=1.89946 t=2518
ji tian 	幾天	c=1 d=1 t=2359
ji xiao 	績效	c=5 d=2.52948 t=2518
ji xu 	繼續	c=1 d=1 t=994
ji zhi 	機制	c=1 d=1 t=1890
jia 	加	c=1 d=1 t=2063
jian 	劍	c=1 d=0.891366 t=2518
jian 	建	c=1 d=0.733447 t=2518
jian cha 	檢查	c=1 d=1 t=1574
jian dan 	簡單	c=2 d=1.00407 t=2330
jian hao 	建好	c=0 d=0.066365 t=2518
jian hao ka 	建好卡	c=1 d=0.666977 t=2518
jian kong 	監控	c=1 d=1 t=1248
jian shi qi 	監視器	c=1 d=1 t=2413
jian xi 	間隙	c=0 d=0.1 t=1991
jian xi suo 	間隙鎖	c=1 d=1 t=1992
jiang ji 	降級	c=1 d=0.856415 t=2518
jiao ben 	腳本	c=3 d=1.64124 t=1779
jiao cha 	交叉	c=1 d=1 t=1694
jiao fu 	交付	c=1 d=1 t=2387
jiao yan 	校驗	c=2 d=1.95123 t=1808
jie 	接	c=0 d=0.1 t=2440
jie dao 	接到	c=1 d=1 t=1718
jie duan 	階段	c=1 d=0.145876 t=2518
jie gou 	結構	c=2 d=1.1437 t=1601
jie guo 	結果	c=1 d=1 t=2010
jie jia ri 	節假日	c=4 d=2.48979 t=2518
jie jue 	解決	c=4 d=1.19952 t=2389
jie kai 	解開	c=0 d=0.0213312 t=2518
jie kai le 	解開了	c=1 d=0.214381 t=2518
jie kou 	接口	c=4 d=0.582748 t=2518
jie ru 	接入	c=1 d=1 t=1803
jie shou 	接收	c=1 d=1 t=1367
jie tu 	截圖	c=1 d=1 t=2503
jie xi 	解析	c=5 d=0.299692 t=2518
jin er 	進而	c=1 d=1 t=1164
jin liang 	儘量	c=1 d=0.882497 t=2518
jin nian 	今年	c=1 d=1 t=2364
jin ru 	進入	c=2 d=1.01083 t=2405
jin tian 	今天	c=3 d=1.17843 t=2518
jin yong 	禁用	c=1 d=0.267135 t=2518
jing tai 	靜態	c=3 d=2.91285 t=1923
jing xiang 	鏡像	c=1 d=1 t=1662
jiu 	就	c=11 d=1.73157 t=2518
jiu de 	舊的	c=4 d=0.786628 t=2518
jiu shi 	就是	c=2 d=1.80654 t=2487
jiu shuo 	就說	c=1 d=1 t=2430
jiu xing 	就行	c=2 d=0.771052 t=2518
ju yu wang 	局域網	c=1 d=0.177284 t=2518
ka 	卡	c=3 d=2.26426 t=2518
kai fa 	開發	c=6 d=0.718136 t=2518
kai shi 	開始	c=3 d=1.47068 t=2518
kai tou 	開頭	c=5 d=0.542574 t=2518
kan 	看	c=4 d=0.628135 t=2518
kan dao 	看到	c=1 d=0.597501 t=2518
kan kan 	看看	c=6 d=1.33667 t=2518
kan shang qu 	看上去	c=1 d=0.56836 t=2518
kan wan 	看完	c=0 d=0.0591555 t=2518
kan yi xia 	看一下	c=0 d=0.1 t=956
kan zhe 	看着	c=1 d=1 t=1007
ke 	可	c=0 d=0.0197899 t=2518
ke bian chang 	可變長	c=2 d=0.402816 t=2518
ke chong fu 	可重複	c=1 d=1 t=1953
ke hu duan 	客戶端	c=3 d=0.654659 t=2518
ke yi 	可以	c=9 d=1.25684 t=2518
ken ding 	肯定	c=2 d=1.98511 t=2081
kong zhi tai 	控制檯	c=1 d=1 t=2295
ku 	庫	c=4 d=0.290835 t=2518
kuai 	塊	c=1 d=1 t=2134
kuang jia 	框架	c=2 d=0.254107 t=2518
kuo zhan 	擴展	c=1 d=1 t=2401
la ji 	垃圾	c=1 d=1 t=1882
lai yuan 	來源	c=2 d=0.390628 t=2518
lan pai 	藍牌	c=1 d=1 t=2475
lao 	老	c=1 d=1 t=1692
le 	了	c=27 d=6.14943 t=2518
le ma 	了嗎	c=1 d=0.66365 t=2518
lei 	類	c=1 d=1 t=1814
lei si 	類似	c=3 d=1.89916 t=2311
lei xing 	類型	c=5 d=0.386741 t=2518
li shi 	歷史	c=2 d=0.425283 t=2518
li wei 	離位	c=8 d=2.08905 t=2518
li zhi 	離職	c=1 d=1 t=1024
li zi 	例子	c=1 d=1 t=1887
lian jie 	連接	c=1 d=1 t=1794
lian tong 	聯通	c=1 d=1 t=1793
lian wang 	聯網	c=2 d=1.95123 t=2254
lian xu 	連續	c=1 d=1 t=2308
liang hang 	兩行	c=1 d=1 t=1535
ling wai 	另外	c=1 d=1 t=1960
liu liang 	流量	c=2 d=1.96079 t=2180
lu 	盧	c=1 d=0.127454 t=2518
lu jing 	路徑	c=3 d=0.501576 t=2518
lu nei 	路內	c=4 d=1.23134 t=2518
lu ru 	錄入	c=0 d=0.1 t=2075
lu tong 	路通	c=1 d=1 t=2019
luo ji 	邏輯	c=4 d=1.27832 t=2518
lv kuang 	綠框	c=1 d=1 t=1150
lv you 	旅遊	c=1 d=1 t=2378
ma 	嗎	c=27 d=3.39866 t=2518
mai dong xi 	買東西	c=0 d=0.0398519 t=2518
man 	慢	c=1 d=1.09231 t=2028
man cha xun 	慢查詢	c=1 d=1 t=2013
mei 	梅	c=1 d=0.88692 t=2518
mei 	每	c=1 d=0.12307 t=2518
mei 	沒	c=7 d=3.28134 t=2518
mei fa 	沒法	c=3 d=0.806541 t=2518
mei ge 	每個	c=1 d=1 t=1575
mei ju 	枚舉	c=1 d=0.364219 t=2518
mei kan wan 	沒看完	c=1 d=0.594521 t=2518
mei lin 	梅琳	c=1 d=0.895834 t=2518
mei wen ti 	沒問題	c=1 d=0.794534 t=2518
mei ye 	每頁	c=2 d=1.08006 t=2500
mei you 	沒有	c=10 d=1.50869 t=2518
meng meng 	萌萌	c=2 d=0.574072 t=2518
mi ma 	密碼	c=5 d=2.34146 t=2518
miao 	秒	c=1 d=0.123687 t=2518
ming 	名	c=0 d=0.1 t=1264
ming bai 	明白	c=1 d=1 t=1439
ming cheng 	名稱	c=3 d=1.51115 t=1766
ming ling 	命令	c=5 d=1.90416 t=2310
ming nian 	明年	c=1 d=1 t=2368
ming xi 	明細	c=2 d=1.14685 t=2518
ming xian 	明顯	c=1 d=0.606531 t=2518
ming yue pin yin 	朙月拼音	c=1 d=0.00904991 t=2518
ming zi 	名字	c=4 d=1.03596 t=2518
mo jiang 	墨江	c=5 d=1.64529 t=2518
mo ren 	默認	c=1 d=1 t=1676
mo ren zhi 	默認值	c=1 d=0.197899 t=2518
mo shi 	模式	c=1 d=0.16696 t=2518
mu bei 	墓碑	c=1 d=1 t=1889
mu di 	目的	c=1 d=0.15259 t=2518
mu lu 	目錄	c=3 d=0.540641 t=2518
mu qian 	目前	c=1 d=1 t=1032
na 	哪	c=1 d=1 t=1670
na ge 	哪個	c=7 d=1.44905 t=2518
na ge 	那個	c=5 d=2.29553 t=2507
na jiu 	那就	c=1 d=1 t=1544
na shi 	那是	c=1 d=1 t=2492
na xie 	哪些	c=4 d=0.704422 t=2518
na yao 	那要	c=0 d=0.1 t=2352
na yao bu 	那要不	c=1 d=1 t=2353
na you 	哪有	c=1 d=0.965605 t=2518
ne 	呢	c=1 d=0.22091 t=2518
nei 	內	c=1 d=1 t=1606
nei rong 	內容	c=2 d=1.87372 t=1329
nei wang 	內網	c=2 d=0.557106 t=2518
neng 	能	c=2 d=1.44043 t=1703
neng bu neng 	能不能	c=1 d=1 t=1586
ni 	你	c=7 d=2.56122 t=2518
ni ba 	你把	c=1 d=0.343009 t=2518
ni cheng 	昵稱	c=1 d=1 t=1227
ni de 	你的	c=1 d=1 t=2165
ni dian kai 	你點開	c=1 d=1 t=1001
ni gai 	你該	c=1 d=0.99005 t=2518
ni hao 	你好	c=2 d=1.71177 t=1784
ni kan kan 	你看看	c=1 d=1 t=1142
ni kan yi xia 	你看一下	c=4 d=1.05669 t=2100
ni ke yi 	你可以	c=1 d=1 t=2162
ni mai dong xi 	你買東西	c=1 d=0.400517 t=2518
ni men 	你們	c=2 d=1.57121 t=2454
ni qu 	你去	c=1 d=1 t=1518
ni qu ba 	你去吧	c=1 d=0.22313 t=2518
ni shi shuo 	你是說	c=1 d=0.909373 t=2518
ni wen 	你問	c=0 d=0.1 t=1698
ni wen wen 	你問問	c=2 d=0.774916 t=2518
ni wen xia 	你問下	c=1 d=1 t=1699
ni xiang qu 	你想去	c=1 d=1 t=2340
ni zhi jie 	你直接	c=1 d=0.733447 t=2518
nin hao 	您好	c=1 d=1 t=1029
nong cuo le 	弄錯了	c=1 d=0.357007 t=2518
ou guan 	歐冠	c=0 d=0.1 t=1398
pai 	派	c=1 d=0.278446 t=2518
pai xu 	排序	c=1 d=0.516851 t=2518
pan 	盤	c=0 d=0.0501576 t=2518
pan duan 	判斷	c=7 d=1.33307 t=2518
pao 	跑	c=2 d=1.37015 t=2518
pao wan 	跑完	c=1 d=1 t=1288
pei 	配	c=1 d=0.767206 t=2518
pei fu 	賠付	c=1 d=1 t=1869
pei le 	賠了	c=1 d=1 t=1867
pei zhi 	配置	c=23 d=3.27882 t=2518
pi liang 	批量	c=2 d=0.615697 t=2518
pi pei 	匹配	c=1 d=1 t=2032
pi wen 	批文	c=1 d=0.647265 t=2518
pian yi 	便宜	c=1 d=1 t=2383
pin fan 	頻繁	c=1 d=1 t=1852
ping mu 	屏幕	c=1 d=1 t=2463
ping shi 	平時	c=1 d=1 t=1925
ping tai 	平臺	c=1 d=0.18452 t=2518
qi 	其	c=1 d=1 t=1341
qi ta 	其他	c=2 d=1.00432 t=2448
qi ta ren 	其他人	c=1 d=1 t=2345
qian 	前	c=1 d=1 t=1969
qian duan 	前端	c=2 d=1.01804 t=1813
qian yi ge 	前一個	c=1 d=1 t=1977
qian zhui 	前綴	c=1 d=0.336216 t=2518
qiang 	槍	c=1 d=1 t=1077
qiang pao 	槍炮	c=1 d=0.869358 t=2518
